"Name","Age","Team","Win","Loss","Save","Gm","Gs","IP","K","ERA","WHIP","FIP","xFIP","SIERA","K/9","K%","BB/9","BB%","HR/9","HR%","GB%","FB%","GB/FB","IFFB%","OFFB%","AVG","BABIP","LOB%","Soft%","Med%","Hard%","vFB","vFBfx"
"Rich Hill","35.3","Red Sox","2","1","0","4","4","29.0","36","1.55","0.66","2.27","2.50","2.29","11.17","34.0%","1.55","4.7%","0.62","22.2%","48.4%","35.5%","1.360","27.3%","8.2%","0.141","87.9%","0.197","28.6%","49.2%","22.2%","90.2","90.3"
"Jorge de la Rosa","34.2","Rockies","9","7","0","26","26","149.0","134","4.17","1.36","4.19","3.84","4.10","8.09","21.1%","3.93","10.2%","1.03","32.9%","52.0%","27.3%","1.900","4.3%","23.0%","0.242","72.9%","0.288","17.6%","49.5%","32.9%","91.4","91.4"
"Kevin Gausman","24.5","Orioles","4","7","0","25","17","112.1","103","4.25","1.23","4.10","3.80","3.68","8.25","21.9%","2.32","6.2%","1.36","27.4%","44.7%","38.1%","1.170","11.8%","26.3%","0.248","72.3%","0.288","23.5%","49.1%","27.4%","95.3","95.2"
"Chris Bassitt","26.3","Athletics","1","8","0","18","13","86.0","64","3.56","1.26","3.76","4.50","4.39","6.70","17.7%","3.14","8.3%","0.52","23.6%","44.5%","34.3%","1.300","14.9%","19.4%","0.242","73.6%","0.289","22.1%","54.3%","23.6%","93.1","93.3"
"Andrew Cashner","28.8","Padres","6","16","0","31","31","184.2","165","4.34","1.44","3.85","3.84","4.00","8.04","20.5%","3.22","8.2%","0.93","30.0%","47.4%","29.9%","1.580","9.1%","20.8%","0.273","65.6%","0.330","17.6%","52.4%","30.0%","94.8","94.9"
"Matt Harrison","29.8","Rangers","1","2","0","3","3","16.0","5","6.75","1.56","6.07","5.66","5.98","2.81","7.3%","3.38","8.7%","1.69","36.2%","40.4%","38.6%","1.050","9.1%","29.5%","0.302","62.5%","0.291","20.7%","43.1%","36.2%","86.5","89.5"
"Wei-Yin Chen","29.9","Orioles","11","8","0","31","31","191.1","153","3.34","1.22","4.16","4.01","3.97","7.20","19.3%","1.93","5.2%","1.32","28.2%","40.5%","39.4%","1.030","14.0%","25.4%","0.257","80.5%","0.290","21.9%","49.9%","28.2%","91.4","91.6"
"Matt Harvey","26.3","Mets","13","8","0","29","29","189.1","188","2.71","1.02","3.05","3.24","3.23","8.94","24.9%","1.76","4.9%","0.86","26.7%","46.0%","36.1%","1.270","9.8%","26.3%","0.219","78.7%","0.272","17.2%","56.1%","26.7%","95.9","95.2"
"Chris Archer","26.8","Rays","12","13","0","34","34","212.0","252","3.23","1.14","2.90","3.01","3.08","10.70","29.0%","2.80","7.6%","0.81","32.0%","46.1%","33.9%","1.360","7.7%","26.2%","0.219","73.1%","0.295","18.1%","49.9%","32.0%","95.2","95.0"
"Brett Anderson","27.4","Dodgers","10","9","0","31","31","180.1","116","3.69","1.33","3.94","3.51","3.46","5.79","15.5%","2.30","6.1%","0.90","24.1%","66.3%","18.5%","3.580","1.9%","16.6%","0.276","73.8%","0.310","25.3%","50.7%","24.1%","90.7","91.0"
"R.A. Dickey","40.7","Blue Jays","11","11","0","33","33","214.1","126","3.91","1.19","4.48","4.72","4.76","5.29","14.3%","2.56","6.9%","1.05","23.6%","41.9%","37.2%","1.130","13.8%","23.4%","0.240","73.3%","0.257","19.8%","56.6%","23.6%","81.5","81.4"
"Ricky Nolasco","32.5","Twins","5","2","0","9","8","37.1","35","6.75","1.71","3.51","4.01","4.10","8.44","20.2%","3.38","8.1%","0.72","26.0%","40.7%","31.7%","1.280","10.3%","21.4%","0.316","55.9%","0.392","20.3%","53.7%","26.0%","90.3","90.5"
"James Paxton","26.6","Mariners","3","4","0","13","13","67.0","56","3.90","1.43","4.31","4.35","4.44","7.52","18.9%","3.90","9.8%","1.07","29.7%","48.3%","34.4%","1.400","8.3%","26.1%","0.250","73.1%","0.289","18.4%","51.9%","29.7%","94.2","94.1"
"John Danks","30.2","White Sox","7","15","0","30","30","177.2","124","4.71","1.41","4.49","4.65","4.63","6.28","16.2%","2.84","7.3%","1.22","28.0%","38.2%","40.7%","0.940","10.8%","29.9%","0.275","68.1%","0.305","19.5%","52.5%","28.0%","89.4","89.4"
"Tyson Ross","28.2","Padres","10","12","0","33","33","196.0","212","3.26","1.31","2.98","3.15","3.35","9.73","25.8%","3.86","10.2%","0.41","23.7%","61.5%","19.9%","3.090","9.8%","10.1%","0.235","74.0%","0.320","20.2%","56.1%","23.7%","92.8","92.7"
"John Lackey","36.7","Cardinals","13","10","0","33","33","218.0","175","2.77","1.21","3.57","3.77","3.90","7.22","19.5%","2.19","5.9%","0.87","30.1%","46.0%","33.3%","1.380","11.6%","21.7%","0.251","82.6%","0.295","17.6%","52.3%","30.1%","91.6","91.6"
"Yovani Gallardo","29.3","Rangers","13","11","0","33","33","184.1","121","3.42","1.42","4.00","4.31","4.59","5.91","15.3%","3.32","8.6%","0.73","24.9%","49.3%","28.7%","1.720","8.2%","20.5%","0.267","77.2%","0.303","15.4%","59.7%","24.9%","90.4","90.5"
"Mike Foltynewicz","23.7","Braves","4","6","0","18","15","86.2","77","5.71","1.63","5.05","4.61","4.30","8.00","19.3%","3.01","7.3%","1.77","32.5%","33.3%","43.5%","0.770","8.9%","34.6%","0.306","67.7%","0.349","18.7%","48.8%","32.5%","95.0","95.1"
"Kris Medlen","29.7","Royals","6","2","0","15","8","58.1","40","4.01","1.27","4.13","4.31","4.28","6.17","16.5%","2.78","7.4%","0.93","25.7%","49.7%","33.1%","1.500","10.0%","23.1%","0.251","68.1%","0.282","20.8%","53.6%","25.7%","91.0","90.8"
"Colby Lewis","35.9","Rangers","17","9","0","33","33","204.2","142","4.66","1.24","4.17","4.62","4.43","6.24","16.5%","1.85","4.9%","1.14","32.8%","33.7%","44.2%","0.760","7.9%","36.3%","0.261","65.9%","0.289","13.6%","53.6%","32.8%","88.0","88.2"
